"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
32.100,0.0750,0.164,-0.0720,0.194
32.200,0.0600,0.143,-0.0660,0.168
32.300,0.0555,0.140,-0.0645,0.163
32.400,0.0495,0.140,-0.0600,0.160
32.500,0.0495,0.147,-0.0645,0.168
32.600,0.0780,0.249,-0.0315,0.263
32.700,0.446,1.94,-0.473,2.04
32.800,1.75,4.79,-6.53,8.28
32.900,1.85,3.85,-7.53,8.65
33.000,0.882,2.46,-6.38,6.89
33.100,0.546,1.28,-4.42,4.64
33.200,0.581,0.803,-3.70,3.83
33.300,1.28,0.861,-7.16,7.33
33.400,2.34,2.61,-26.1,26.3
33.500,0.0570,-0.0285,-48.7,48.7
33.600,-0.168,-0.492,-48.7,48.7
33.700,-0.168,-0.492,-48.7,48.7
33.800,-0.168,-0.492,-48.7,48.7
33.900,-3.29,2.66,-48.3,48.5
34.000,-15.7,20.0,-34.4,42.8
34.100,-9.14,45.2,-9.50,47.1
34.200,13.1,25.1,-29.5,40.9
34.300,18.7,27.1,-27.5,42.9
34.400,22.0,32.5,-22.3,45.1
34.500,23.0,22.9,-31.6,45.3
34.600,23.5,23.5,-31.1,45.5
34.700,26.2,26.2,-28.4,46.7
34.800,-15.1,30.6,-4.84,34.4
34.900,-49.3,-0.896,0.0450,49.3
35.000,-49.3,-4.49,-3.44,49.6
35.100,-32.5,-2.08,-20.1,38.3
35.200,-12.9,5.93,-14.0,19.9
35.300,-5.45,7.11,-4.53,10.0
35.400,-3.29,5.17,-2.85,6.76
35.500,-5.40,10.3,-7.27,13.7
35.600,-9.34,23.5,-18.1,31.1
35.700,-22.4,25.8,-28.8,44.7
35.800,-15.2,-12.7,-38.6,43.4
35.900,-6.01,-6.39,-46.2,47.0
36.000,-1.31,42.7,-6.61,43.2
36.100,-0.168,48.7,0.437,48.7
36.200,2.98,47.9,-2.64,48.1
36.300,6.16,47.1,-5.76,47.8
36.400,-0.168,48.7,0.437,48.7
36.500,-0.168,48.7,0.437,48.7
36.600,-0.168,48.7,0.437,48.7
36.700,-0.168,48.7,0.437,48.7
36.800,-0.168,48.7,0.437,48.7
36.900,-0.168,48.7,0.437,48.7
37.000,-0.168,48.7,0.437,48.7
37.100,-0.168,48.7,0.437,48.7
37.200,-0.168,48.7,0.437,48.7
37.300,-0.168,48.7,0.437,48.7
37.400,-0.168,48.7,0.437,48.7
37.500,-0.168,48.7,0.437,48.7
37.600,-0.168,48.7,0.437,48.7
37.700,-0.168,48.7,0.437,48.7
37.800,-0.168,48.7,0.437,48.7
37.900,-0.168,48.7,0.437,48.7
38.000,2.59,48.7,-2.26,48.8
38.100,5.04,48.7,-4.67,49.1
38.200,5.77,48.7,-5.38,49.3
38.300,5.17,48.5,-4.79,49.1
38.400,13.5,38.3,-14.5,43.2
38.500,7.25,17.5,-13.1,23.1
38.600,0.714,3.06,-1.38,3.43
38.700,-0.549,1.19,0.308,1.34
38.800,-1.27,0.747,0.950,1.75
38.900,-1.47,0.507,1.13,1.93
39.000,-1.37,0.614,1.27,1.97
39.100,-1.76,0.0840,2.21,2.83
39.200,-2.45,-0.644,2.79,3.77
39.300,-2.42,-0.965,2.43,3.56
39.400,-1.16,-1.18,0.572,1.75
39.500,-0.639,-0.860,0.368,1.13
39.600,-0.581,-0.729,0.384,1.01
39.700,-0.428,-0.804,0.197,0.932
39.800,-0.117,-0.683,-0.0390,0.694
39.900,0.0105,-0.671,-0.0990,0.678
40.000,-0.366,-1.01,0.0240,1.08
40.100,-1.25,-1.99,1.15,2.62
40.200,-1.40,-4.52,5.83,7.51
40.300,1.62,-4.32,7.77,9.04
